Country name,Year,GDP,biofuel_share_energy,coal_consumption,electricity_demand,energy_per_capita,fossil_fuel_consumption,greenhouse_gas_emissions,nuclear_consumption,oil_consumption,renewables_consumption,PopDensity,Death rate,Child mortality rate,Fertility rate: children per woman,Age Median,Population,Pop<15,Pop100+,Life ExpectancyM,Life ExpectancyF,Birth rate
Chad,2016,31254114304,,,0.29,286.591,,0.2,0,,,11.5888,13.291,12.51012,6.6234,14.7,14592587,7054294,24,50.9,53.3,45.456
Oman,1952,547951808,,,,,,,,,,1.5199,35.049,46.07046,7.2521,17.9,470407,196828,0,28.7,32.4,53.771
Eritrea,2009,,,,0.28,670.504,,0.2,,,,25.4564,7.685,5.71886,4.6558,17.3,3083900,1319615,4,61.5,65.1,34.402
Maldives,2006,,,,0.2,11906.826,,0.14,,,,1048.002,3.74,1.93419,2.2312,21,314411,97706,2,74,76.7,19.584
Puerto Rico,2008,1.22624E+11,,,20.92,32875.305,,14.21,,,,432.3078,8.195,0.8974301,1.6201,35.1,3757617,770783,1213,73.8,81.9,11.436
Gabon,2008,19821185024,,,1.77,8547.841,,0.64,0,,,6.2094,8.686,6.66972,4.118,19.7,1599988,607461,35,61.5,64.8,32.675
Iraq,1962,34818408448,,,,,,,,,,17.2342,14.027,17.05762,6.8694,19.3,7481829,2999311,5,51,57.8,47.058
Guam,1991,,,,,60928.648,,,,,,260.147,4.57,1.67669,3.0409,24.4,140749,42276,0,69.5,76.1,26.225
Bolivia,1995,28507105280,,,,4626.537,,,0,,,7.2385,10.625,11.09608,4.4094,18.9,7841471,3115741,129,57.8,61.3,32.406
Upper-middle-income countries,1972,,0.027,6739.805,,10736.657,14932.83,,27.902,5665.507,749.715,26.7649,10.348,10.19492,4.6765,19,1438899300,564648500,8813,57.2,62.3,31.857
Tajikistan,1993,13768157184,,,,13376.031,,,,,,39.9567,13.525,11.32284,4.812,16.6,5717815,2558037,5,45.8,62.1,38.123
